case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_cutting_length,target_cutting_length,baseline_machining_cost,target_machining_cost,machining_cost_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_tool_event_count,target_tool_event_count,tool_event_count_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,single_edges_only,full_process_aware_beam,9,40.000000,32.000000,-8.000000,20.000000,40.000000,32.000000,20.000000,236.000000,150.000000,276.000000,182.000000,34.057971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,18.000000,-4.000000,151.690792,94.773125,0.624778,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,no_stability_guidance,full_process_aware_beam,9,65.601471,32.000000,-33.601471,51.220606,65.601471,32.000000,51.220606,150.000000,150.000000,215.601471,182.000000,15.584991,0.000000,0.000000,0.000000,2.000000,0.000000,-2.000000,2.000000,18.000000,18.000000,0.000000,120.900833,94.773125,0.783891,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,no_adjacency_support_guidance,full_process_aware_beam,9,77.222123,32.000000,-45.222123,58.561098,77.222123,32.000000,58.561098,150.000000,150.000000,227.222123,182.000000,19.902166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,18.000000,12.000000,64.108166,94.773125,1.478332,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,topology_no_beam,full_process_aware_beam,9,63.700490,32.000000,-31.700490,49.764908,63.700490,32.000000,49.764908,150.000000,150.000000,213.700490,182.000000,14.834075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,18.000000,4.000000,31.759625,94.773125,2.984076,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,path_distance_baseline,full_process_aware_beam,9,34.000000,32.000000,-2.000000,5.882353,34.000000,32.000000,5.882353,150.000000,150.000000,184.000000,182.000000,1.086957,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,16.000000,18.000000,-2.000000,99.127667,94.773125,0.956071,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,no_detour_operator,full_process_aware_beam,9,32.000000,32.000000,0.000000,0.000000,32.000000,32.000000,0.000000,150.000000,150.000000,182.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,18.000000,0.000000,57.369042,94.773125,1.651991,baseline
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|1,no_safe_travel_modes,full_process_aware_beam,9,32.000000,32.000000,0.000000,0.000000,32.000000,32.000000,0.000000,150.000000,150.000000,182.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,18.000000,0.000000,56.433958,94.773125,1.679363,baseline
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|2,single_edges_only,full_process_aware_beam,7,19.000000,18.000000,-1.000000,5.263158,19.000000,18.000000,5.263158,260.000000,168.000000,279.000000,186.000000,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,14.000000,-6.000000,93.656583,71.433000,0.762712,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|2,no_stability_guidance,full_process_aware_beam,7,30.605551,18.000000,-12.605551,41.187140,30.605551,18.000000,41.187140,168.000000,168.000000,198.605551,186.000000,6.347029,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,16.000000,14.000000,2.000000,59.982917,71.433000,1.190889,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv|2,no_adjacency_support_guidance,full_process_aware_beam,7,67.470177,18.000000,-49.470177,73.321546,67.470177,18.000000,73.321546,168.000000,168.000000,235.470177,186.000000,21.009105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,14.000000,8.000000,45.332042,71.433000,1.575773,target
