method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
process_aware_beam,all_edges,1,0.75,0.0,1.0,3,503.47145833333343,469.3259448276629,2723.473997486466,3780.5420542060447,2723.473997486466,3780.5420542060447,0.0,0.0,0,7,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,3,198.19143066666655,71.59759095423313,4121.856685873685,5749.426516410759,4288.523352540351,5985.128769095398,0.0,0.0,0.6666666666666666,8.666666666666666,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,1.0,3,107.38806933333333,105.46840603754542,4124.523352540351,5747.5426789658495,4291.190019207018,5983.244861502099,0.0,0.0,0.6666666666666666,13.666666666666666,12.666666666666666
