method,safe_lift_fixed_cost,n,runtime_ms_mean,air_move_distance_mean,travel_mode_cost_mean,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,safe_lift_distance_mean,detour_count_mean,detour_distance_mean
topology_local_search_process_aware,0.0,3,130.02227766666667,3002.633065137148,3002.633065137148,0.0,0.0,1,369.62530981522656,0,0.0
topology_local_search_process_aware,100.0,3,241.4783473333335,3365.377968634005,3365.377968634005,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_local_search_process_aware,250.0,3,164.2676526666667,3365.377968634005,3365.377968634005,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_local_search_process_aware,500.0,3,171.70626399999992,3365.377968634005,3365.377968634005,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_local_search_process_aware,1000.0,3,173.76579166666662,3365.377968634005,3365.377968634005,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_process_aware,0.0,3,37.07824999999987,3003.215938887808,3003.215938887808,0.0,0.0,1,369.62530981522656,0,0.0
topology_process_aware,100.0,3,218.22654166666658,3365.960842384665,3365.960842384665,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_process_aware,250.0,3,44.75059700000009,3365.960842384665,3365.960842384665,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_process_aware,500.0,3,50.7605416666664,3365.960842384665,3365.960842384665,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
topology_process_aware,1000.0,3,53.280986333333445,3365.960842384665,3365.960842384665,0.0,0.0,0,0.0,10.333333333333334,596.6666666666666
