archive,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,method,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,hard_penalty
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,greedy,3.3977500000000047,10,63,29,46,2603.0951494023802,14692.0,12,12,0.0,0.0,11.0,1,719.2899276369718,7,232.0,2853.0951494023802,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,topology,2.7105000000000046,10,63,29,40,2462.831397218587,14692.0,12,12,0.0,0.0,7.0,0,0.0,0,0.0,2462.831397218587,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,topology_process_aware,64.064166,10,63,29,51,6663.639270635425,14692.0,19,19,0.0,0.0,8.0,0,0.0,5,1215.5,6663.639270635425,0.0
