scenario,size,method,repeat,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,topology_candidate_pool_size,beam_width,beam_candidate_pool_size,beam_max_expansions_per_node,beam_max_layer_expansions,beam_diversity_bucket_limit,beam_min_expansions_per_parent,beam_unstable_min_expansions_per_parent,beam_unstable_layer_expansion_multiplier,beam_unstable_layer_expansion_bonus,beam_completion_aware_prerank,beam_unstable_completion_focus_count,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty,hard_penalty
clustered,100,process_aware_beam,0,all_edges,1,0.75,0.0,1.0,,4,12,24,28,1,0,2,1.0,0,False,2,922.337542,100,838,249,502,11169.89288760157,11876.24931408073,240,246,5,595.8460316914858,8,95.71949384614588,12419.89288760157,23.0,0.0
clustered,200,process_aware_beam,0,all_edges,1,0.75,0.0,1.0,,4,12,24,28,1,0,2,1.0,0,False,2,2266.980083,200,1698,481,965,19313.518951768823,21563.558816481833,463,475,11,2236.8348375682212,11,194.06097723029242,22063.518951768827,56.0,0.0
