beam_width,candidate_pool_size,max_expansions_per_node,max_layer_expansions,layer_multiplier,n,runtime_ms_mean,runtime_ms_std,expanded_nodes_mean,air_move_distance_mean,travel_mode_cost_mean,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
1,24,48,6,6,3,74.18698599999983,62.916349511134655,199.33333333333334,2964.458962237652,3047.7922955709855,0.0,0.0,0.3333333333333333,22.333333333333332,12.666666666666666
1,24,48,12,12,3,120.98641666666661,127.84096765882741,382,3326.667665217796,3326.667665217796,0.0,0.0,0,29.333333333333332,12.666666666666666
4,24,48,24,6,3,324.89124966666685,319.31827047950543,800.6666666666666,3836.034389823732,4002.701056490399,0.0,0.0,0.6666666666666666,28.333333333333332,12.666666666666666
4,24,48,48,12,3,584.4247916666669,635.0435641001322,1536,3273.006857563266,3356.3401908965993,0.0,0.0,0.3333333333333333,24.666666666666668,12.666666666666666
8,24,48,48,6,3,524.8863053333332,613.7063543613947,1610,3400.0275738268942,3483.3609071602273,0.0,0.0,0.3333333333333333,16,12.666666666666666
8,24,48,96,12,3,909.5805973333333,973.6586630402886,3088,3193.669375874452,3193.669375874452,0.0,0.0,0,6.666666666666667,12.666666666666666
