beam_width,candidate_pool_size,max_expansions_per_node,max_layer_expansions,layer_multiplier,diversity_bucket_limit,n,runtime_ms_mean,runtime_ms_std,expanded_nodes_mean,air_move_distance_mean,travel_mode_cost_mean,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
4,24,48,48,12,0,3,591.7919163333338,643.5760711637932,1536,3273.006857563266,3356.3401908965993,0.0,0.0,0.3333333333333333,24.666666666666668,12.666666666666666
4,24,48,48,12,2,3,587.2256249999996,637.40978798925,1536,3273.006857563266,3356.3401908965993,0.0,0.0,0.3333333333333333,24.666666666666668,12.666666666666666
8,24,48,96,12,0,3,907.7698889999997,965.9057506127009,3088,3193.669375874452,3193.669375874452,0.0,0.0,0,6.666666666666667,12.666666666666666
8,24,48,96,12,2,3,902.9298056666668,962.7537874517268,3088,3193.669375874452,3193.669375874452,0.0,0.0,0,6.666666666666667,12.666666666666666
