archive,placements_member,board_id,target_method,source_label,rectangle_count,target_travel_mode_cost,target_machining_cost,target_runtime_ms
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1002\placements.csv,333,process_aware_beam_adaptive_polished,process_aware_beam,25,10195.141721645461,0.0,706.1651670000017
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1002\placements.csv,340,process_aware_beam_adaptive_polished,process_aware_beam,26,10405.340461061971,0.0,777.8192920000038
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1002\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,31,9692.418311250573,0.0,883.3446669999958
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1003\placements.csv,333,process_aware_beam_adaptive_polished,process_aware_beam,25,10195.141721645461,0.0,698.1239170000038
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1003\placements.csv,340,process_aware_beam_adaptive_polished,process_aware_beam,26,10405.340461061971,0.0,758.5710410000104
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1003\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,31,9692.418311250573,0.0,867.5710000000123
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,32,11509.494508907976,0.0,377.553958
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,30,12145.428238137098,0.0,1007.5717920000002
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv,343,process_aware_beam_adaptive_polished,event_gate_selected_candidate,27,10271.983537645261,0.0,869.985290999999
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1001\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,32,11509.494508907976,0.0,384.2020420000054
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1001\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,30,12145.428238137098,0.0,1023.0240419999959
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1001\placements.csv,343,process_aware_beam_adaptive_polished,event_gate_selected_candidate,27,10271.983537645261,0.0,880.8176250000059
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1002\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,32,11509.494508907976,0.0,385.0765420000002
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1002\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,30,12145.428238137098,0.0,1021.3259999999948
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1002\placements.csv,343,process_aware_beam_adaptive_polished,event_gate_selected_candidate,27,10271.983537645261,0.0,887.6604999999955
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1003\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,32,11509.494508907976,0.0,376.7090829999944
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1003\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,30,12145.428238137098,0.0,985.063083
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1003\placements.csv,343,process_aware_beam_adaptive_polished,event_gate_selected_candidate,27,10271.983537645261,0.0,874.25254099999
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,process_aware_beam_adaptive_polished,event_gate_selected_candidate,30,10324.28367803585,0.0,958.7700410000011
