archive,placements_member,board_id,method,runtime_ms,rectangle_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,greedy,8.376875000000005,20,53,95,4977.22767133501,17883.0,21,21,0.0,0.0,0.0,4.0,1,680.4241985702741,25,1400.3,5227.22767133501
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,path_distance_local_search,296.47095900000005,20,53,94,4776.741602242741,17883.0,20,20,0.0,0.0,0.0,4.0,1,680.4241985702741,25,1400.3,5026.741602242741
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,topology_process_aware,223.02662500000002,20,53,89,12252.773364345718,17883.0,28,29,0.0,0.0,0.0,0.0,2,3067.4871370539036,9,737.0,12752.773364345718
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,process_aware_beam,597.32175,20,53,86,7144.060451415711,17883.0,23,25,0.0,0.0,0.0,0.0,0,0.0,10,1108.0,7144.060451415711
