scenario,size,method,repeat,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,stability_penalty,hard_penalty
clustered,10,greedy,0,1.0209169999999963,10,73,29,54,622.9182184087697,1956.9330237798692,26,26,8.0,4.0
clustered,10,topology,0,30.21175000000001,10,73,29,56,1492.5133511500997,1956.9330237798686,27,28,0.0,4.0
clustered,10,topology_local_search,0,50.393084,10,73,29,56,1666.8883970457478,1956.9330237798686,26,27,0.0,4.0
clustered,20,greedy,0,8.035332999999978,20,154,54,103,1320.3608409602143,2972.346961778828,48,50,18.0,9.0
clustered,20,topology,0,123.671,20,154,54,104,2445.1304890965425,2972.3469617788273,50,51,0.0,6.0
clustered,20,topology_local_search,0,532.924958,20,154,54,104,2675.694365415539,2972.3469617788273,50,51,1.0,5.0
