archive,case_name,placement_method,seed,placements_member,board_id,strategy,gate_enabled,min_travel_saving_per_extra_event,min_travel_saving_ratio_per_extra_event,min_machining_saving,fallback_triggered,selected_source,estimated_runtime_ms,topology_runtime_ms,beam_runtime_ms,polish_runtime_ms,fallback_beam_runtime_ms,fallback_polish_runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,baseline_tool_event_count,target_tool_event_count,tool_event_delta,pierce_delta,lift_delta,safe_lift_delta,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_machining_cost,target_machining_cost,machining_cost_delta,machining_cost_reduction_pct,baseline_detour_count,target_detour_count,detour_delta,hard_penalty,stability_penalty,air_move_distance,cutting_length
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,fixed_100,True,100.0,0.0,1e-09,True,fallback_polished,1344.602666000002,200.54450000000122,492.6321250000001,24.75108299999995,603.613042000001,23.061915999999627,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,current,True,100.0,0.02,1e-09,True,fallback_polished,1344.602666000002,200.54450000000122,492.6321250000001,24.75108299999995,603.613042000001,23.061915999999627,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,strict,True,200.0,0.05,1e-09,True,fallback_polished,1344.602666000002,200.54450000000122,492.6321250000001,24.75108299999995,603.613042000001,23.061915999999627,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_ref,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1000\placements.csv,347,no_gate,False,100.0,0.02,1e-09,True,topology,790.3035420000001,111.79079200000075,267.741749999999,42.8503340000006,329.979208000001,37.94145799999882,25,021_050,192,63,112,65,69,4,2,1,1,10957.04533330543,9376.475403126062,-1580.5699301793684,14.42514731024258,29776.545333305432,28195.97540312606,-1580.569930179372,5.3081037860073215,18,19,1,0.0,0.0,9126.475403126062,18819.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1001,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1001\placements.csv,340,no_gate,False,100.0,0.02,1e-09,True,topology,1017.1626669999938,119.23266699999857,375.83499999999856,28.73145799999932,467.32533399999807,26.03820799999923,26,021_050,187,66,103,68,78,10,4,4,2,10405.340461061971,10391.606485667759,-13.733975394212393,0.13198967823884833,28970.440461061968,28956.706485667757,-13.733975394210574,0.04740685738855049,23,0,-23,0.0,0.0,9891.606485667759,18565.1
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1001,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1001\placements.csv,333,no_gate,False,100.0,0.02,1e-09,True,topology,882.6595839999989,74.89287499999975,324.89024999999924,30.359167000000298,426.8185839999994,25.69870800000018,25,021_050,210,61,104,64,75,11,6,6,-1,10195.141721645461,9234.042676436427,-961.0990452090336,9.427029770155226,30943.941721645464,29982.842676436427,-961.0990452090373,3.1059360628796138,23,7,-16,0.0,0.0,9234.042676436427,20748.8
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1001,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,340,no_gate,False,100.0,0.02,1e-09,True,fallback_polished,1362.896166999999,191.65470799999795,506.92883299999994,24.982167000001,615.4793339999998,23.851125000000195,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1001,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,340,fixed_100,True,100.0,0.0,1e-09,True,fallback_polished,1362.896166999999,191.65470799999795,506.92883299999994,24.982167000001,615.4793339999998,23.851125000000195,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1001,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,340,current,True,100.0,0.02,1e-09,True,fallback_polished,1362.896166999999,191.65470799999795,506.92883299999994,24.982167000001,615.4793339999998,23.851125000000195,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1001,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,340,strict,True,200.0,0.05,1e-09,True,fallback_polished,1362.896166999999,191.65470799999795,506.92883299999994,24.982167000001,615.4793339999998,23.851125000000195,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1002,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1002\placements.csv,340,no_gate,False,100.0,0.02,1e-09,True,topology,1021.1059980000101,119.40241599999979,377.29170800000134,28.515833000000157,470.1162500000038,25.779791000005048,26,021_050,187,66,103,68,78,10,4,4,2,10405.340461061971,10391.606485667759,-13.733975394212393,0.13198967823884833,28970.440461061968,28956.706485667757,-13.733975394210574,0.04740685738855049,23,0,-23,0.0,0.0,9891.606485667759,18565.1
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1002,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1002\placements.csv,333,no_gate,False,100.0,0.02,1e-09,True,topology,885.6509580000065,74.8940410000003,325.39312500000506,30.295041999998773,429.17737500000186,25.891375000000494,25,021_050,210,61,104,64,75,11,6,6,-1,10195.141721645461,9234.042676436427,-961.0990452090336,9.427029770155226,30943.941721645464,29982.842676436427,-961.0990452090373,3.1059360628796138,23,7,-16,0.0,0.0,9234.042676436427,20748.8
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1002,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,340,no_gate,False,100.0,0.02,1e-09,True,fallback_polished,1351.0898749999994,198.91470800000377,492.4381670000031,25.192624999995417,611.0623749999959,23.482000000001335,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1002,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,340,fixed_100,True,100.0,0.0,1e-09,True,fallback_polished,1351.0898749999994,198.91470800000377,492.4381670000031,25.192624999995417,611.0623749999959,23.482000000001335,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1002,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,340,current,True,100.0,0.02,1e-09,True,fallback_polished,1351.0898749999994,198.91470800000377,492.4381670000031,25.192624999995417,611.0623749999959,23.482000000001335,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1002,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,340,strict,True,200.0,0.05,1e-09,True,fallback_polished,1351.0898749999994,198.91470800000377,492.4381670000031,25.192624999995417,611.0623749999959,23.482000000001335,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1003,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1003\placements.csv,340,no_gate,False,100.0,0.02,1e-09,True,topology,1017.8160830000066,114.26808299999891,373.76295800000037,28.508292000005042,475.0977500000033,26.178999999999064,26,021_050,187,66,103,68,78,10,4,4,2,10405.340461061971,10391.606485667759,-13.733975394212393,0.13198967823884833,28970.440461061968,28956.706485667757,-13.733975394210574,0.04740685738855049,23,0,-23,0.0,0.0,9891.606485667759,18565.1
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1003,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1003\placements.csv,333,no_gate,False,100.0,0.02,1e-09,True,topology,876.685626000004,74.53420800000288,316.83654200000433,30.28237499999875,428.9334589999996,26.099041999998462,25,021_050,210,61,104,64,75,11,6,6,-1,10195.141721645461,9234.042676436427,-961.0990452090336,9.427029770155226,30943.941721645464,29982.842676436427,-961.0990452090373,3.1059360628796138,23,7,-16,0.0,0.0,9234.042676436427,20748.8
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1003,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,340,no_gate,False,100.0,0.02,1e-09,True,fallback_polished,1359.835123999993,199.04924999999452,495.30024999999966,24.821750000000975,617.3005829999952,23.36329100000256,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1003,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,340,fixed_100,True,100.0,0.0,1e-09,True,fallback_polished,1359.835123999993,199.04924999999452,495.30024999999966,24.821750000000975,617.3005829999952,23.36329100000256,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1003,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,340,current,True,100.0,0.02,1e-09,True,fallback_polished,1359.835123999993,199.04924999999452,495.30024999999966,24.821750000000975,617.3005829999952,23.36329100000256,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,rh_mcts_prefix_beam,seed_1003,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,340,strict,True,200.0,0.05,1e-09,True,fallback_polished,1359.835123999993,199.04924999999452,495.30024999999966,24.821750000000975,617.3005829999952,23.36329100000256,30,021_050,214,76,119,69,72,3,2,1,0,12563.1489915884,10324.28367803585,-2238.865313552549,17.82089279568022,37174.6489915884,34935.78367803585,-2238.865313552553,6.022559390027183,37,10,-27,0.0,0.0,10074.28367803585,24611.5
strong_baseline_overnight_20260407_001243.zip,exp_strong_repeat_ind_5seed_300s__data6,baseline_pilot,seed_1004,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1004/placements.csv,149,no_gate,False,100.0,0.02,1e-09,True,polished,692.4701239999962,77.4671249999983,228.8747499999957,52.75866600000256,276.17416700000064,57.195415999999,21,021_050,165,54,128,51,54,3,2,1,0,9188.068116717403,8664.654765012876,-523.4133517045266,5.6966638150210525,27544.068116717404,27020.654765012878,-523.4133517045266,1.900276130187355,52,52,0,0.0,0.0,8664.654765012876,18356.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_repeat_ind_5seed_300s__data6,baseline_pilot,seed_1004,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1004/placements.csv,149,fixed_100,True,100.0,0.0,1e-09,True,polished,692.4701239999962,77.4671249999983,228.8747499999957,52.75866600000256,276.17416700000064,57.195415999999,21,021_050,165,54,128,51,54,3,2,1,0,9188.068116717403,8664.654765012876,-523.4133517045266,5.6966638150210525,27544.068116717404,27020.654765012878,-523.4133517045266,1.900276130187355,52,52,0,0.0,0.0,8664.654765012876,18356.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_repeat_ind_5seed_300s__data6,baseline_pilot,seed_1004,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1004/placements.csv,150,no_gate,False,100.0,0.02,1e-09,True,topology,690.9095020000038,78.56679200000372,229.4564589999979,30.90504200000055,324.8949170000017,27.0862919999999,21,021_050,159,54,113,61,64,3,2,1,0,11856.63226352017,9714.957228779596,-2141.675034740574,18.063097405238427,29238.632263520172,27096.957228779596,-2141.675034740576,7.324812650052222,17,31,14,0.0,0.0,9714.957228779596,17382.0
