method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
process_aware_beam,all_edges,1,0.75,0.0,1.0,3,909.1348053333332,968.3189397899903,3193.669375874452,4443.392205927917,3193.669375874452,4443.392205927917,0.0,0.0,0,6.666666666666667,12.666666666666666
topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,3,241.83200000000014,76.65233865955472,4121.856685873685,5749.426516410759,4288.523352540351,5985.128769095398,0.0,0.0,0.6666666666666666,8.666666666666666,12.666666666666666
topology_process_aware,all_edges,1,0.75,0.0,1.0,3,192.9048749999999,212.4658868127845,4124.523352540351,5747.5426789658495,4291.190019207018,5983.244861502099,0.0,0.0,0.6666666666666666,13.666666666666666,12.666666666666666
