scenario,size,method,repeat,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,topology_candidate_pool_size,beam_width,beam_candidate_pool_size,beam_max_expansions_per_node,beam_max_layer_expansions,beam_diversity_bucket_limit,beam_min_expansions_per_parent,beam_unstable_min_expansions_per_parent,beam_unstable_layer_expansion_multiplier,beam_unstable_layer_expansion_bonus,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty,hard_penalty
clustered,50,greedy,0,all_edges,1,0.5,0.0,1.0,,,,,,,,,,,19.434124999999998,50,410,127,313,3561.6749267783757,7010.047318225219,122,123,0,0.0,68,1427.53862893321,3561.6749267783757,24.0,0.0
clustered,50,topology_process_aware,0,all_edges,1,0.5,0.0,1.0,96,,,,,,,,,,1097.8449580000001,50,410,127,274,6072.988411516241,7010.047318225217,122,124,0,0.0,27,731.2942703096319,6072.988411516241,2.0,0.0
clustered,50,process_aware_beam,0,all_edges,1,0.5,0.0,1.0,,6,18,36,42,1,0,2,1.0,0,1101.6882920000003,50,410,127,291,5531.385526966431,7010.047318225218,122,123,0,0.0,46,1315.095524042215,5531.385526966431,2.0,0.0
clustered,100,greedy,0,all_edges,1,0.5,0.0,1.0,,,,,,,,,,,43.925832999999855,100,838,249,525,5488.092699088656,11876.249314080726,239,243,5,1263.0091745086445,39,1033.0013351469736,6738.092699088656,44.0,0.0
clustered,100,topology_process_aware,0,all_edges,1,0.5,0.0,1.0,64,,,,,,,,,,5059.331792,100,838,249,570,11825.071592966906,11876.249314080738,244,247,5,1390.6184363165546,81,1872.9945286728453,13075.071592966906,4.0,0.0
clustered,100,process_aware_beam,0,all_edges,1,0.5,0.0,1.0,,4,12,24,28,1,0,2,1.0,0,1108.7161669999998,100,838,249,571,9975.739235329733,11876.249314080738,242,245,3,939.4861135264073,85,1601.7097054043552,10725.739235329733,2.0,0.0
clustered,200,greedy,0,all_edges,1,0.5,0.0,1.0,,,,,,,,,,,120.10004200000068,200,1698,481,999,10394.061354859476,21563.558816481825,467,474,25,4650.15610101205,52,857.2373444250525,16644.0613548595,104.0,0.0
clustered,200,topology_process_aware,0,all_edges,1,0.5,0.0,1.0,64,,,,,,,,,,4197.655125000001,200,1698,481,991,26833.006985562406,21563.558816481825,467,477,6,1834.855000911841,39,788.2276321188815,28333.006985562406,3.0,0.0
clustered,200,process_aware_beam,0,all_edges,1,0.5,0.0,1.0,,4,12,24,28,1,0,2,1.0,0,2122.2952920000002,200,1698,481,994,19339.050080286826,21563.55881648184,472,477,12,3601.3868194193233,39,634.907608760684,22339.05008028682,1.0,0.0
