archive,case_name,placement_method,seed,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,method,safe_lift_fixed_cost,runtime_ms,rectangle_count,air_move_distance,travel_mode_cost,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,all_edges,1,0.5,0.0,topology_process_aware,0.0,18.846584,9,71.80215297930911,71.80215297930911,0.0,9.0,1,13.038404810405298,0,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,all_edges,1,0.5,0.0,topology_process_aware,100.0,37.73837499999999,9,70.76374816890382,70.76374816890382,0.0,9.0,0,0.0,7,21.0
