method,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
greedy,6,7.007708500000017,8.804881874916111,2298.7150983862625,2289.06996827082,2382.0484317195956,2370.7113932375223,0.0,11.333333333333334,0.3333333333333333,5.833333333333333,14
topology,6,11.114152499999884,9.790873696866583,2536.0878704816005,2569.4591640255617,2661.0878704816005,2687.430132113017,0.0,10.833333333333334,0.5,5.166666666666667,14
topology_local_search,6,107.94052799999996,106.16973569881793,4817.220600575955,4855.773597666845,5108.887267242622,5192.281237798846,0.0,9.833333333333334,1.1666666666666667,5.5,14
topology_local_search_process_aware,6,262.2497846666666,128.15914064581096,5064.086859263452,5079.773838509456,5064.086859263452,5079.773838509456,0.0,0.0,0,14.833333333333334,14
topology_process_aware,6,250.43823616666668,257.51362717736083,5064.669733014112,5079.202752218073,5064.669733014112,5079.202752218073,0.0,0.0,0,14.833333333333334,14
