beam_width,candidate_pool_size,max_expansions_per_node,max_layer_expansions,layer_multiplier,unstable_layer_expansion_multiplier,unstable_layer_expansion_bonus,diversity_bucket_limit,min_expansions_per_parent,unstable_min_expansions_per_parent,n,runtime_ms_mean,runtime_ms_std,expanded_nodes_mean,air_move_distance_mean,travel_mode_cost_mean,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
6,24,48,36,6,1.0,0,1,0,2,1,470.649083,0.0,1892,10248.740810952697,10498.740810952697,0.0,0.0,1,20,22
6,24,48,42,7,1.0,0,1,0,2,1,394.3301669999999,0.0,2164,7756.0862941799505,7756.0862941799505,0.0,0.0,0,14,22
6,24,48,48,8,1.0,0,1,0,2,1,437.19137500000005,0.0,2452,7756.0862941799505,7756.0862941799505,0.0,0.0,0,14,22
6,24,48,72,12,1.0,0,1,0,2,1,598.795833,0.0,3486,9555.825480321262,9805.825480321262,0.0,0.0,1,25,22
