method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
process_aware_beam,all_edges,1,0.75,0.0,1.0,77,347.9464799610385,139.80422730201576,10230.100730568789,1435.4334797386443,10424.905925373985,1499.9238085630386,0.0,0.0,0.7792207792207793,38.27272727272727,25.636363636363637
process_aware_beam_adaptive_polished,all_edges,1,0.75,0.0,1.0,77,568.6487472597404,247.50151159262947,9774.893080950975,1157.236948013783,9995.672301730196,1239.6369063187533,0.0,0.0,0.8831168831168831,36.03896103896104,25.636363636363637
process_local_search_multistart,all_edges,1,0.75,0.0,1.0,77,268.975063857142,67.82675251171523,10643.625414785845,1574.2490166330194,10922.846194006625,1600.6703713030092,0.0,0.0,1.1168831168831168,32.5974025974026,25.636363636363637
topology_process_aware,all_edges,1,0.75,0.0,1.0,77,125.46527166233659,56.66509002111271,10651.500775355144,1583.0315166449614,10943.708567562937,1628.599700786548,0.0,0.0,1.1688311688311688,32.077922077922075,25.636363636363637
