archive,case_name,placement_method,seed,placements_member,board_id,method,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,hard_penalty
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,topology_local_search_process_aware,442.68579200000005,20,154,53,107,9954.357289363084,17883.0,33,34,0.0,0.0,0.0,0,0.0,23,1766.0,9954.357289363084,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,322,greedy,6.970250000000178,20,172,50,67,4713.64457163736,19810.5,14,14,0.0,0.0,14.0,0,0.0,5,694.0,4713.64457163736,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,322,topology,15.160124999999969,20,172,50,74,6556.345063081653,19810.5,17,17,0.0,0.0,13.0,1,1186.4337318198602,10,1147.0,6806.345063081653,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,322,topology_process_aware,602.9781249999999,20,172,50,96,11764.23225313332,19810.5,31,32,0.0,0.0,0.0,0,0.0,17,1745.0,11764.23225313332,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,322,topology_local_search,241.3739170000002,20,172,50,74,11985.939711289822,19810.5,21,21,0.0,0.0,11.0,4,5057.190365746798,5,356.0,12985.939711289822,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,322,topology_local_search_process_aware,404.905125,20,172,50,96,11764.23225313332,19810.5,31,32,0.0,0.0,0.0,0,0.0,17,1745.0,11764.23225313332,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,greedy,2.1257499999998153,9,51,28,40,22.23606797749979,164.0,9,9,0.0,0.0,8.0,0,0.0,5,4.0,22.23606797749979,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,topology,2.4424160000000583,9,51,28,41,100.39164646293858,164.0,13,13,0.0,0.0,8.0,0,0.0,0,0.0,100.39164646293858,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,topology_process_aware,42.49412500000016,9,51,28,40,55.0384048104053,164.0,13,13,0.0,0.0,0.0,0,0.0,0,0.0,55.0384048104053,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,topology_local_search,16.634459000000046,9,51,28,40,98.69444552789338,164.0,11,12,0.0,0.0,8.0,0,0.0,0,0.0,98.69444552789338,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,topology_local_search_process_aware,129.11691700000017,9,51,28,40,55.0384048104053,164.0,13,13,0.0,0.0,0.0,0,0.0,0,0.0,55.0384048104053,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_pilot_pub_1seed_300s__ngcut9,baseline_greedy,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_pilot_pub_1seed_300s/exp_strong_pilot_pub_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,greedy,0.9659590000001828,9,50,28,37,30.23606797749979,159.0,10,10,0.0,0.0,8.0,0,0.0,0,0.0,30.23606797749979,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_pilot_pub_1seed_300s__ngcut9,baseline_greedy,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_pilot_pub_1seed_300s/exp_strong_pilot_pub_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology,2.513707999999504,9,50,28,47,126.72406612663826,159.0,19,19,0.0,0.0,7.0,0,0.0,0,0.0,126.72406612663826,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_pilot_pub_1seed_300s__ngcut9,baseline_greedy,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_pilot_pub_1seed_300s/exp_strong_pilot_pub_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_process_aware,21.968750000000092,9,50,28,50,88.48683298050514,159.0,16,16,0.0,0.0,0.0,0,0.0,8,24.0,88.48683298050514,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_pilot_pub_1seed_300s__ngcut9,baseline_greedy,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_pilot_pub_1seed_300s/exp_strong_pilot_pub_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_local_search,38.04220899999944,9,50,28,46,133.35750815567638,159.0,18,18,0.0,0.0,7.0,0,0.0,0,0.0,133.35750815567638,0.0
strong_baseline_overnight_20260407_001243.zip,exp_strong_pilot_pub_1seed_300s__ngcut9,baseline_greedy,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_pilot_pub_1seed_300s/exp_strong_pilot_pub_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_local_search_process_aware,125.1184159999994,9,50,28,50,86.73821172852543,159.0,16,16,0.0,0.0,0.0,0,0.0,8,24.0,86.73821172852543,0.0
