rectangle_count_bin,method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
000_020,process_aware_beam,all_edges,1,0.75,0.0,1.0,2,255.1882704999966,24.77597950000333,7752.694269517607,608.6338181018955,7752.694269517607,608.6338181018955,0.0,0.0,0,11,20
000_020,process_aware_beam_adaptive_polished,all_edges,1,0.75,0.0,1.0,2,247.59331249999715,23.16718750000345,7689.845439608545,671.4826480109573,7689.845439608545,671.4826480109573,0.0,0.0,0,6,20
000_020,process_local_search_multistart,all_edges,1,0.75,0.0,1.0,2,204.06585399999688,11.563978999997289,11493.684753652527,759.0886106931912,11993.684753652527,759.0886106931912,0.0,0.0,2,17.5,20
000_020,topology_process_aware,all_edges,1,0.75,0.0,1.0,2,74.18162500000136,3.972832999998843,11493.684753652527,759.0886106931912,11993.684753652527,759.0886106931912,0.0,0.0,2,17.5,20
021_050,process_aware_beam,all_edges,1,0.75,0.0,1.0,75,350.42003221333295,140.76397920327418,10296.164902863487,1391.9427322795482,10496.164902863487,1450.6516309030671,0.0,0.0,0.8,39,25.786666666666665
021_050,process_aware_beam_adaptive_polished,all_edges,1,0.75,0.0,1.0,75,577.2102255200002,245.0595798235764,9830.494351386773,1115.2859628768767,10057.161018053439,1191.675885382294,0.0,0.0,0.9066666666666666,36.84,25.786666666666665
021_050,process_local_search_multistart,all_edges,1,0.75,0.0,1.0,75,270.7059761199992,67.85450089420944,10620.9571657494,1584.0448053425623,10894.290499082734,1607.3922381083462,0.0,0.0,1.0933333333333333,33,25.786666666666665
021_050,topology_process_aware,all_edges,1,0.75,0.0,1.0,75,126.83283557333219,56.781445082455896,10629.04253593388,1593.119914231248,10915.709202600547,1636.3121932060342,0.0,0.0,1.1466666666666667,32.46666666666667,25.786666666666665
