archive,case_name,placement_method,seed,placements_member,board_id,method,variant,planner_kind,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,use_single_edge_units_only,disable_stability_guidance,disable_adjacency_guidance,disable_detour_operator,disable_safe_travel_modes,evaluate_with_planning_tool,runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,primitive_unit_count,relation_unit_count,selected_single_edge_count,selected_shared_edge_count,selected_near_shared_channel_count,selected_collinear_chain_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,machining_cost,planning_air_move_distance,planning_travel_mode_cost,planning_machining_cost,planning_hard_penalty,planning_stability_penalty,planning_safe_lift_count,planning_detour_count
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,131.70175,9,000_020,50,28,40,36,14,14,14,0,0,52.55634918610404,159.0,11,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,52.55634918610404,211.55634918610406,52.55634918610404,52.55634918610404,211.55634918610406,0.0,0.0,0,3
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,176.62000000000006,9,000_020,36,36,64,36,0,36,0,0,0,48.0,248.0,7,7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,48.0,296.0,48.0,48.0,296.0,0.0,0.0,0,24
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,168.34983299999996,9,000_020,50,28,37,36,14,14,14,0,0,54.72134935173836,159.0,10,10,0.0,0.0,0.0,5.0,0,0.0,0,0.0,54.72134935173836,213.72134935173835,54.72134935173836,54.72134935173836,213.72134935173835,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,True,False,False,False,51.1729580000001,9,000_020,50,28,43,36,14,14,14,0,0,90.68656532723712,159.0,15,16,0.0,0.0,0.0,0.0,0,0.0,0,0.0,90.68656532723712,249.68656532723713,90.68656532723712,90.68656532723712,249.68656532723713,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_no_beam,topology_no_beam,topology_process_aware,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,37.67716599999993,9,000_020,50,28,58,36,14,14,14,0,0,66.23606797749977,159.0,14,14,0.0,0.0,0.0,0.0,0,0.0,0,0.0,66.23606797749977,225.23606797749977,66.23606797749977,66.23606797749977,225.23606797749977,0.0,0.0,0,20
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,path_distance_baseline,path_distance_baseline,path_distance_local_search,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,92.627833,9,000_020,50,28,37,36,14,14,14,0,0,30.23606797749979,159.0,10,10,0.0,0.0,0.0,1.0,0,0.0,0,0.0,30.23606797749979,189.2360679774998,30.23606797749979,30.23606797749979,189.2360679774998,0.0,1.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_detour_operator,no_detour_operator,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,False,True,64.68904199999992,9,000_020,50,28,38,36,14,14,14,0,0,41.82842712474619,159.0,11,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,41.82842712474619,200.82842712474618,41.82842712474619,41.82842712474619,200.82842712474618,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,True,True,63.93270799999995,9,000_020,50,28,38,36,14,14,14,0,0,41.82842712474619,159.0,11,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,41.82842712474619,200.82842712474618,41.82842712474619,41.82842712474619,200.82842712474618,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,34.73308300000011,5,000_020,27,16,21,20,7,9,7,0,0,24.0,113.0,6,6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,24.0,137.0,24.0,24.0,137.0,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,67.28541700000012,5,000_020,20,20,27,20,0,20,0,0,0,17.8309518948453,172.0,4,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,17.8309518948453,189.8309518948453,17.8309518948453,17.8309518948453,189.8309518948453,0.0,0.0,0,5
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,41.03333300000011,5,000_020,27,16,20,20,7,9,7,0,0,19.0,113.0,5,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,19.0,132.0,19.0,19.0,132.0,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,True,False,False,False,25.933459000000212,5,000_020,27,16,21,20,7,9,7,0,0,56.26854836104172,113.0,6,6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,56.26854836104172,169.26854836104172,56.26854836104172,56.26854836104172,169.26854836104172,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,topology_no_beam,topology_no_beam,topology_process_aware,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,6.885792000000057,5,000_020,27,16,26,20,7,9,7,0,0,57.698448828284675,113.0,11,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,57.698448828284675,170.69844882828468,57.698448828284675,57.698448828284675,170.69844882828468,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,path_distance_baseline,path_distance_baseline,path_distance_local_search,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,55.97362500000003,5,000_020,27,16,25,20,7,9,7,0,0,29.0,113.0,6,6,0.0,0.0,0.0,1.0,0,0.0,0,0.0,29.0,142.0,29.0,29.0,142.0,0.0,1.0,0,5
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,no_detour_operator,no_detour_operator,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,False,True,26.198916999999877,5,000_020,27,16,21,20,7,9,7,0,0,24.0,113.0,6,6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,24.0,137.0,24.0,24.0,137.0,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,3,no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,True,True,25.617916999999935,5,000_020,27,16,21,20,7,9,7,0,0,24.0,113.0,6,6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,24.0,137.0,24.0,24.0,137.0,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,26.314957999999944,4,000_020,20,13,17,16,4,9,4,0,0,24.950844619618657,117.0,5,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,24.950844619618657,141.95084461961866,24.950844619618657,24.950844619618657,141.95084461961866,0.0,0.0,0,0
