archive,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,method,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,hard_penalty
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,greedy,3.7609579999999947,10,63,29,46,2603.0951494023802,14692.0,12,12,0.0,0.0,6.0,1,719.2899276369718,7,232.0,2853.0951494023802,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,topology,3.0063339999999994,10,63,29,40,2462.831397218587,14692.0,12,12,0.0,0.0,6.0,0,0.0,0,0.0,2462.831397218587,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,topology_process_aware,49.11075000000001,10,63,29,51,7798.972787440729,14692.0,20,20,0.0,0.0,0.0,1,742.5530284094194,4,1215.5,8048.972787440729,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,topology_local_search,226.45854200000002,10,63,29,40,2462.831397218587,14692.0,12,12,0.0,0.0,6.0,0,0.0,0,0.0,2462.831397218587,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.5,0.0,topology_local_search_process_aware,309.23083299999996,10,63,29,51,8563.104137604956,14692.0,19,20,0.0,0.0,0.0,1,742.5530284094194,4,1215.5,8813.104137604956,0.0
