method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
topology,all_edges,1,0.5,0.0,1,2.6414580000000134,0.0,100.39164646293858,0.0,100.39164646293858,0.0,0.0,6.0,0,0,9
topology_local_search_process_aware,all_edges,1,0.5,0.0,1,169.47387500000002,0.0,77.60147050873545,0.0,77.60147050873545,0.0,0.0,0.0,0,8,9
topology_process_aware,all_edges,1,0.5,0.0,1,44.89262499999999,0.0,77.60147050873545,0.0,77.60147050873545,0.0,0.0,0.0,0,8,9
