archive,case_name,placement_method,seed,placements_member,board_id,method,variant,planner_kind,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,use_single_edge_units_only,disable_stability_guidance,disable_adjacency_guidance,disable_detour_operator,disable_safe_travel_modes,evaluate_with_planning_tool,runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,primitive_unit_count,relation_unit_count,selected_single_edge_count,selected_shared_edge_count,selected_near_shared_channel_count,selected_collinear_chain_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,planning_air_move_distance,planning_travel_mode_cost,planning_hard_penalty,planning_stability_penalty,planning_safe_lift_count,planning_detour_count
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,123.75291700000001,9,000_020,50,28,40,36,14,14,14,0,0,53.0,159.0,10,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,53.0,53.0,53.0,0.0,0.0,0,3
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,170.20620799999998,9,000_020,36,36,64,36,0,36,0,0,0,48.0,248.0,7,7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,48.0,48.0,48.0,0.0,0.0,0,24
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,164.12649999999996,9,000_020,50,28,37,36,14,14,14,0,0,54.72134935173836,159.0,10,10,0.0,0.0,0.0,5.0,0,0.0,0,0.0,54.72134935173836,54.72134935173836,54.72134935173836,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,True,False,False,False,50.67795799999997,9,000_020,50,28,54,36,14,14,14,0,0,96.47999044221967,159.0,14,15,0.0,0.0,0.0,0.0,0,0.0,0,0.0,96.47999044221967,96.47999044221967,96.47999044221967,0.0,0.0,0,13
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,topology_no_beam,topology_no_beam,topology_process_aware,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,37.20691599999992,9,000_020,50,28,58,36,14,14,14,0,0,66.23606797749977,159.0,14,14,0.0,0.0,0.0,0.0,0,0.0,0,0.0,66.23606797749977,66.23606797749977,66.23606797749977,0.0,0.0,0,20
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,path_distance_baseline,path_distance_baseline,path_distance_local_search,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,90.30154199999996,9,000_020,50,28,37,36,14,14,14,0,0,30.23606797749979,159.0,10,10,0.0,0.0,0.0,1.0,0,0.0,0,0.0,30.23606797749979,30.23606797749979,30.23606797749979,0.0,1.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_detour_operator,no_detour_operator,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,False,True,60.13816699999997,9,000_020,50,28,38,36,14,14,14,0,0,41.82842712474619,159.0,11,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,41.82842712474619,41.82842712474619,41.82842712474619,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,2,no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,True,True,59.22112499999999,9,000_020,50,28,38,36,14,14,14,0,0,41.82842712474619,159.0,11,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,41.82842712474619,41.82842712474619,41.82842712474619,0.0,0.0,0,0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,385.571208,22,021_050,178,54,89,88,90,6,37,0,11,7465.6199279295215,20146.0,18,19,0.0,0.0,0.0,0.0,0,0.0,0,0.0,7465.6199279295215,7465.6199279295215,7465.6199279295215,0.0,0.0,0,19
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,618.9523749999998,22,021_050,88,88,107,88,0,88,0,0,0,6286.592518700913,31268.0,17,17,0.0,0.0,0.0,0.0,2,2653.983007520875,0,0.0,6786.5925187009125,6286.592518700913,6786.5925187009125,0.0,0.0,2,4
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,463.39658299999996,22,021_050,178,54,71,88,90,6,37,0,11,4906.461975027095,20146.0,18,18,0.0,0.0,0.0,7.0,0,0.0,0,0.0,4906.461975027095,4906.461975027095,4906.461975027095,0.0,0.0,0,0
