archive,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,beam_width,candidate_pool_size,max_expansions_per_node,max_layer_expansions,diversity_bucket_limit,rectangle_count,candidate_unit_count,selected_unit_count,runtime_ms,final_air_move_distance,final_travel_mode_cost,final_stability_penalty,final_hard_penalty,final_expanded_nodes,depth,input_beam_count,raw_expansion_count,layer_expansion_count,layer_pruned_count,evaluated_node_count,duplicate_pruned_count,diversity_pruned_count,fallback_added_count,output_beam_count,best_hard_penalty,best_stability_penalty,best_travel_mode_cost,best_air_move_distance,worst_stability_penalty,worst_travel_mode_cost,unstable_prefix_count,released_part_count_max
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,10,8,304,96,208,96,0,0,0,8,0.0,0.0,506.77426253853844,506.77426253853844,0.0,770.7742625385384,0,2
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,11,8,288,96,192,96,0,1,0,8,0.0,0.0,506.77426253853844,506.77426253853844,0.0,770.7742625385384,0,1
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,12,8,272,96,176,96,0,0,0,8,0.0,0.0,699.5493906023008,699.5493906023008,0.0,1131.5086060798553,0,1
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,13,8,256,96,160,96,32,1,0,8,0.0,0.0,955.016730301931,955.016730301931,0.0,1459.4508644790135,0,1
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,14,8,240,96,144,96,30,0,0,8,0.0,0.0,955.016730301931,955.016730301931,0.0,1780.9369484955846,0,1
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,15,8,224,96,128,96,12,3,0,8,0.0,0.0,955.016730301931,955.016730301931,0.0,2001.5676658733414,0,2
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,16,8,208,96,112,96,26,0,0,8,0.0,0.0,955.016730301931,955.016730301931,0.0,1851.8061425944713,0,3
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,17,8,192,96,96,96,0,2,0,8,0.0,0.0,1187.0167303019311,1187.0167303019311,0.0,2138.016730301931,0,3
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,18,8,176,96,80,96,22,4,0,8,0.0,0.0,1570.0167303019311,1570.0167303019311,0.0,2535.016730301931,0,4
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,19,8,160,96,64,96,20,1,0,8,0.0,0.0,2328.863147627866,2328.863147627866,0.0,3284.5119522275418,0,4
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,20,8,144,96,48,96,24,3,0,8,0.0,0.0,3638.511952227542,3638.511952227542,0.0,5190.413981008154,0,4
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,21,8,128,96,32,96,48,0,0,8,0.0,1.0,3791.438259774187,3791.438259774187,1.0,4895.734823919936,8,5
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,22,8,20,20,0,20,4,2,0,8,0.0,0.0,5082.226710675041,5082.226710675041,1.0,5403.509945056634,6,6
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,23,8,40,40,0,40,20,0,0,8,0.0,0.0,4532.011952227542,4532.011952227542,1.0,6320.226710675041,4,7
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,24,8,50,50,0,50,32,0,0,8,0.0,0.0,4446.475139445866,4446.475139445866,1.0,6399.775669516079,2,8
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,25,8,54,54,0,54,32,0,0,8,0.0,1.0,4746.475139445866,4746.475139445866,1.0,5551.475139445866,8,7
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,26,8,16,16,0,16,6,0,0,8,0.0,0.0,5264.250267509628,5264.250267509628,1.0,6204.898560766331,4,8
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,27,8,24,24,0,24,16,0,0,8,0.0,0.0,5264.250267509628,5264.250267509628,1.0,6631.9316283997,4,9
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,8,24,48,96,1,10,63,29,313.57516699999996,5523.265067082838,5523.265067082838,0.0,0.0,2284,28,8,16,16,0,16,10,0,0,6,0.0,0.0,5523.265067082838,5523.265067082838,0.0,7153.576914810827,0,10
