method,variant,planner_kind,n,runtime_ms_mean,runtime_ms_std,travel_mode_cost_mean,travel_mode_cost_std,machining_cost_mean,machining_cost_std,air_move_distance_mean,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,selected_shared_edge_count_mean,selected_near_shared_channel_count_mean,selected_collinear_chain_count_mean,rectangle_count_mean
full_process_aware_beam,full_process_aware_beam,process_aware_beam,3,232.61343066666672,113.93056075012547,2525.7265006251173,3493.0331323359555,9348.726500625118,12913.816632081804,2525.7265006251173,0.0,0.0,0,0,22,0,3.6666666666666665,13.333333333333334
single_edges_only,single_edges_only,process_aware_beam,3,329.7278329999999,224.11868344267262,2280.500254453815,3160.342878032503,12871.833587787147,17780.95372726528,2197.166921120482,0.0,0.0,0.3333333333333333,0,0,0,0,13.333333333333334
topology_no_beam,topology_no_beam,topology_process_aware,3,82.29325000000009,72.2003856534802,4391.268097874074,6124.776593776783,11214.268097874074,15545.558623694316,4307.93476454074,0.0,0.0,0.3333333333333333,0,22,0,3.6666666666666665,13.333333333333334
path_distance_baseline,path_distance_baseline,path_distance_local_search,3,128.8225420000001,47.96603171947772,1711.6346113458408,2383.5157156274254,8534.634611345842,11804.297187319926,1628.3012780125073,0.0,2.6666666666666665,0.3333333333333333,0,22,0,3.6666666666666665,13.333333333333334
