archive,case_name,placement_method,seed,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,method,topology_candidate_pool_size,beam_width,beam_candidate_pool_size,beam_max_expansions_per_node,beam_max_layer_expansions,beam_diversity_bucket_limit,beam_min_expansions_per_parent,beam_unstable_min_expansions_per_parent,beam_unstable_layer_expansion_multiplier,beam_unstable_layer_expansion_bonus,runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,hard_penalty
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,157.44424999999995,17,000_020,109,46,66,4018.7101434127044,15766.0,20,21,0.0,0.0,5.0,1,803.7617806290617,0,0.0,4268.710143412704,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,122.40525000000002,17,000_020,109,46,86,9575.644792525869,15766.0,27,28,0.0,0.0,0.0,2,2233.267512374868,15,852.0,10075.644792525869,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,373.4808749999999,17,000_020,109,46,82,10429.887535698803,15766.0,23,24,0.0,0.0,0.0,1,1517.2219679400903,15,1899.5,10679.887535698803,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,150,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,4.164708000000017,16,000_020,100,43,67,4836.44110765516,16737.0,18,18,0.0,0.0,5.0,2,1323.9152092568097,8,858.5,5336.44110765516,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,150,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,155.4659999999999,16,000_020,100,43,67,4836.44110765516,16737.0,18,18,0.0,0.0,5.0,2,1323.9152092568097,8,858.5,5336.44110765516,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,150,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,115.66637499999999,16,000_020,100,43,82,6837.295103525478,16737.0,25,25,0.0,0.0,0.0,0,0.0,17,1271.5,6837.295103525478,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,150,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,519.4022080000001,16,000_020,100,43,88,7773.849795666758,16737.0,26,26,0.0,0.0,0.0,0,0.0,22,1748.5,7773.849795666758,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,152,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,4.5465409999998485,16,000_020,104,42,70,3812.436108205027,17466.5,21,21,0.0,0.0,2.0,1,663.322696732141,9,505.5,4062.436108205027,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,152,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,165.14754100000007,16,000_020,104,42,70,3812.436108205027,17466.5,21,21,0.0,0.0,2.0,1,663.322696732141,9,505.5,4062.436108205027,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,152,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,124.66925000000018,16,000_020,104,42,77,7478.3515273464,17466.5,21,22,0.0,0.0,0.0,0,0.0,16,884.0,7478.3515273464,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,152,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,360.2981669999998,16,000_020,104,42,60,5202.28486991872,17466.5,19,19,0.0,0.0,0.0,0,0.0,0,0.0,5202.28486991872,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,1,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,1.5134999999997234,9,000_020,51,27,44,33.99999999999999,150.0,8,8,0.0,0.0,1.0,0,0.0,11,15.0,33.99999999999999,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,1,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,96.34337500000001,9,000_020,51,27,44,33.99999999999999,150.0,8,8,0.0,0.0,1.0,0,0.0,11,15.0,33.99999999999999,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,1,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,31.050290999999675,9,000_020,51,27,50,63.70049002232824,150.0,11,11,0.0,0.0,0.0,0,0.0,15,23.0,63.70049002232824,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,1,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,137.72625000000005,9,000_020,51,27,46,55.414213562373085,150.0,9,9,0.0,0.0,0.0,0,0.0,13,22.0,55.414213562373085,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,0.7818749999999319,7,000_020,37,22,29,26.0,168.0,8,8,0.0,0.0,1.0,0,0.0,0,0.0,26.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,72.4883329999999,7,000_020,37,22,29,26.0,168.0,8,8,0.0,0.0,1.0,0,0.0,0,0.0,26.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,15.287583000000105,7,000_020,37,22,32,31.0,168.0,7,7,0.0,0.0,0.0,0,0.0,5,8.0,31.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,2,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,61.95191700000002,7,000_020,37,22,28,18.0,168.0,7,7,0.0,0.0,0.0,0,0.0,0,0.0,18.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,3,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,0.2143749999996558,2,000_020,9,7,8,5.0,69.0,2,2,0.0,0.0,0.0,0,0.0,0,0.0,5.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,3,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,15.77049999999991,2,000_020,9,7,8,5.0,69.0,1,1,0.0,0.0,0.0,0,0.0,0,0.0,5.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,3,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,1.3264589999999465,2,000_020,9,7,9,12.615773105863909,69.0,3,3,0.0,0.0,0.0,0,0.0,0,0.0,12.615773105863909,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_ablation_pub_1seed_300s__ngcut9,ours_base,seed_1000,paper_extended_suite_20260321/exp_ablation_pub_1seed_300s/exp_ablation_pub_1seed_300s__ngcut9/ours_base/seed_1000/placements.csv,3,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,8.231499999999947,2,000_020,9,7,9,12.615773105863909,69.0,3,3,0.0,0.0,0.0,0,0.0,0,0.0,12.615773105863909,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,4.836375000000004,22,021_050,178,54,79,4832.431698082522,20146.0,19,19,0.0,0.0,5.0,1,826.5742555874821,8,716.0,5082.431698082522,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,192.60674999999995,22,021_050,178,54,79,4832.431698082522,20146.0,19,19,0.0,0.0,5.0,1,826.5742555874821,8,716.0,5082.431698082522,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,178.94591599999998,22,021_050,178,54,98,12803.007600346884,20146.0,28,30,0.0,0.0,0.0,1,2430.2528675016515,17,1174.0,13053.007600346884,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,all_edges,1,0.75,0.0,1.0,process_aware_beam,,6,18,36,42,1,0,2,1.0,0,643.6932920000005,22,021_050,178,54,108,8381.590563202157,20146.0,18,19,0.0,0.0,0.0,1,1010.0,40,3257.0,8631.590563202157,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,8.22954199999959,20,000_020,154,53,95,4977.22767133501,17883.0,21,21,0.0,0.0,4.0,1,680.4241985702741,25,1400.3,5227.22767133501,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,300.7959170000003,20,000_020,154,53,94,4776.741602242741,17883.0,20,20,0.0,0.0,4.0,1,680.4241985702741,25,1400.3,5026.741602242741,0.0
