method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
greedy,all_edges,1,0.75,0.0,1.0,27,5.156279185184934,5.121522185720457,3065.1791470341327,2861.0257764798685,3222.5865544415406,2994.790223718789,0.0,3.1481481481481484,0.6296296296296297,12.962962962962964,15.25925925925926
path_distance_local_search,all_edges,1,0.75,0.0,1.0,27,170.54631018518526,118.58594271238219,3057.7537370677524,2856.3099551497435,3215.16114447516,2990.0554299824,0.0,3.1481481481481484,0.6296296296296297,12.962962962962964,15.25925925925926
process_aware_beam,all_edges,1,0.75,0.0,1.0,27,468.94177622222213,499.7198573579687,5554.640335446902,5411.272142244131,5721.307002113569,5579.445844993316,0.0,0.0,0.6666666666666666,19.74074074074074,15.25925925925926
topology_process_aware,all_edges,1,0.75,0.0,1.0,27,209.23788570370363,297.8929936642608,5804.48042313433,5400.744327491342,5934.110052763959,5530.774233438707,0.0,0.037037037037037035,0.5185185185185185,18.074074074074073,15.25925925925926
