strategy,gate_enabled,min_travel_saving_per_extra_event,min_travel_saving_ratio_per_extra_event,min_machining_saving,n,target_travel_mode_cost_mean,target_machining_cost_mean,estimated_runtime_ms_mean,tool_event_decrease_count,tool_event_tie_count,tool_event_increase_count,tool_event_delta_mean,travel_mode_cost_reduction_pct_mean,machining_cost_reduction_pct_mean,increase_cases_travel_reduction_pct_mean,increase_cases_machining_reduction_pct_mean,fallback_trigger_rate_pct,source_topology_count,source_beam_count,source_polished_count,source_fallback_polished_count
no_gate,False,100.0,0.02,1e-09,77,9788.21756843161,29608.561724275765,825.0394500779222,4,44,29,1.7922077922077921,5.550892977036024,2.053558969490029,10.603668954096971,3.8751742645685114,66.23376623376623,19,36,8,14
fixed_100,True,100.0,0.0,1e-09,77,9844.024819090364,29664.36897493452,825.0394500779222,4,53,20,0.6493506493506493,5.0071675502258275,1.87239779356684,12.742258728249663,4.722928910270343,66.23376623376623,10,44,8,15
current,True,100.0,0.02,1e-09,77,9995.672301730196,29816.01645757435,825.0394500779222,11,60,6,-0.44155844155844154,3.6115992328363915,1.3437311956761482,14.754474337196152,4.9804927906216365,66.23376623376623,3,51,1,22
strict,True,200.0,0.05,1e-09,77,10034.641219732961,29854.98537557712,825.0394500779222,11,62,4,-0.5194805194805194,3.216016105553212,1.20497694296445,17.82089279568022,6.022559390027183,66.23376623376623,1,57,1,18
