archive,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,method,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,hard_penalty
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,greedy,3.4566670000000106,10,63,29,46,2603.0951494023802,14692.0,12,12,0.0,0.0,7.0,1,719.2899276369718,7,232.0,2853.0951494023802,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,topology,2.973416999999992,10,63,29,40,2462.831397218587,14692.0,12,12,0.0,0.0,3.0,0,0.0,0,0.0,2462.831397218587,0.0
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_ref/seed_1004/placements.csv,1,all_edges,1,0.75,0.0,1.0,topology_process_aware,51.02304199999999,10,63,29,42,6632.619412258621,14692.0,14,14,0.0,0.0,0.0,0,0.0,0,0.0,6632.619412258621,0.0
