scenario,size,method,repeat,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,topology_candidate_pool_size,beam_width,beam_candidate_pool_size,beam_max_expansions_per_node,beam_max_layer_expansions,beam_diversity_bucket_limit,beam_min_expansions_per_parent,beam_unstable_min_expansions_per_parent,beam_unstable_layer_expansion_multiplier,beam_unstable_layer_expansion_bonus,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty,hard_penalty
clustered,50,greedy,0,all_edges,1,0.75,0.0,1.0,,,,,,,,,,,20.468541,50,410,127,313,3561.6749267783757,7010.047318225219,122,123,0,0.0,68,1427.53862893321,3561.6749267783757,53.0,0.0
clustered,50,topology_process_aware,0,all_edges,1,0.75,0.0,1.0,96,,,,,,,,,,628.072375,50,410,127,297,7292.76533509741,7010.047318225217,127,127,0,0.0,49,1144.8828771472517,7292.76533509741,21.0,0.0
clustered,50,process_aware_beam,0,all_edges,1,0.75,0.0,1.0,,6,18,36,42,1,0,2,1.0,0,982.412791,50,410,127,298,6041.490074985905,7010.047318225219,124,125,0,0.0,51,1264.9145755927484,6041.490074985905,10.0,0.0
clustered,100,greedy,0,all_edges,1,0.75,0.0,1.0,,,,,,,,,,,46.776291999999884,100,838,249,525,5488.092699088656,11876.249314080726,239,243,5,1263.0091745086445,39,1033.0013351469736,6738.092699088656,106.0,0.0
clustered,100,topology_process_aware,0,all_edges,1,0.75,0.0,1.0,64,,,,,,,,,,2426.1572919999994,100,838,249,524,14659.12222676952,11876.249314080736,240,246,4,760.4370011264594,33,894.3169280373379,15659.12222676952,43.0,0.0
clustered,100,process_aware_beam,0,all_edges,1,0.75,0.0,1.0,,4,12,24,28,1,0,2,1.0,0,857.1279170000006,100,838,249,506,10926.305234514846,11876.249314080733,238,246,1,565.0653630507989,13,340.0356105827092,11176.305234514846,21.0,0.0
clustered,200,greedy,0,all_edges,1,0.75,0.0,1.0,,,,,,,,,,,125.93604200000019,200,1698,481,999,10394.061354859476,21563.558816481825,467,474,25,4650.15610101205,52,857.2373444250525,16644.0613548595,200.0,0.0
clustered,200,topology_process_aware,0,all_edges,1,0.75,0.0,1.0,64,,,,,,,,,,1818.0391249999993,200,1698,481,959,26724.307279964065,21563.558816481836,468,478,11,2417.4426472105247,0,0.0,29474.307279964058,87.0,0.0
clustered,200,process_aware_beam,0,all_edges,1,0.75,0.0,1.0,,4,12,24,28,1,0,2,1.0,0,2172.6101670000003,200,1698,481,969,19542.228471405517,21563.55881648183,467,477,10,2179.9144071731002,13,200.06097723029242,22042.228471405506,57.0,0.0
