method,variant,planner_kind,n,runtime_ms_mean,runtime_ms_std,travel_mode_cost_mean,travel_mode_cost_std,air_move_distance_mean,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,selected_shared_edge_count_mean,selected_near_shared_channel_count_mean,selected_collinear_chain_count_mean,rectangle_count_mean
full_process_aware_beam,full_process_aware_beam,process_aware_beam,3,217.7191249999999,118.97211513327234,2525.8743842297495,3492.928431087893,2525.8743842297495,0.0,0.0,0,0,22,0,3.6666666666666665,13.333333333333334
single_edges_only,single_edges_only,process_aware_beam,3,315.71954166666654,214.47588991248054,2292.7313297365495,3177.640227802761,2126.064663069883,0.0,0.0,0.6666666666666666,0,0,0,0,13.333333333333334
no_stability_guidance,no_stability_guidance,process_aware_beam,3,257.8632083333334,145.52094144175422,1668.0663361499805,2289.8965029121077,1668.0663361499805,0.0,5.0,0,0,22,0,3.6666666666666665,13.333333333333334
no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,3,132.4541666666667,96.82331906521311,4426.30935566529,6124.840665082893,4342.976022331957,0.0,0.3333333333333333,0.3333333333333333,0,22,0,3.6666666666666665,13.333333333333334
topology_no_beam,topology_no_beam,topology_process_aware,3,81.5494303333332,72.51008866282699,4391.268097874074,6124.776593776783,4307.93476454074,0.0,0.0,0.3333333333333333,0,22,0,3.6666666666666665,13.333333333333334
path_distance_baseline,path_distance_baseline,path_distance_local_search,3,125.20588866666664,48.05768201926083,1711.6346113458408,2383.5157156274254,1628.3012780125073,0.0,2.6666666666666665,0.3333333333333333,0,22,0,3.6666666666666665,13.333333333333334
no_detour_operator,no_detour_operator,process_aware_beam,3,74.68472233333345,20.203715999774047,2975.258409434627,4134.000576947036,2725.2584094346266,0.0,0.0,1,0,22,0,3.6666666666666665,13.333333333333334
no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,3,74.49608333333313,21.17762546256394,2750.2964458186307,3815.857024128144,2750.2964458186307,0.0,0.0,0,0,22,0,3.6666666666666665,13.333333333333334
