action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
35,cut,low_clearance,0.0,14.0,11.0,14.0,11.0,single:11:bottom,11:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4,5,0,0,,,28,29
36,travel,low_clearance,11.0,14.0,11.0,6.0,8.0,single:10:top,,0.0,0.0,0.0,0,0.0,0,0.0,8.0,0.0,5,5,0,0,,,29,29
37,cut,low_clearance,11.0,6.0,0.0,6.0,11.0,single:10:top,10:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,6,0,0,,,29,30
38,travel,low_clearance,0.0,6.0,10.999999,6.0,10.999999,single:12:top,,0.0,0.0,0.0,0,0.0,0,0.0,10.999999000000003,0.0,6,6,0,0,,,30,30
39,travel,low_clearance,10.999999,6.0,11.0,6.0,9.999999992515995e-07,single:12:top,,0.0,0.0,0.0,0,0.0,0,0.0,9.999999974752427e-07,0.0,6,6,0,0,,,30,30
40,travel,low_clearance,11.0,6.0,11.0,6.000001,1.000000000139778e-06,single:12:top,,0.0,0.0,0.0,0,0.0,0,0.0,9.999999974752427e-07,0.0,6,6,0,0,,,30,30
41,travel,low_clearance,11.0,6.000001,11.0,6.999999,0.9999979999999997,single:12:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.9999979999999979,0.0,6,6,0,0,,,30,30
42,travel,low_clearance,11.0,6.999999,11.0,7.0,1.000000000139778e-06,single:12:top,,0.0,0.0,0.0,0,0.0,0,0.0,9.999999974752427e-07,0.0,6,6,0,0,,,30,30
43,cut,low_clearance,11.0,7.0,20.0,7.0,9.0,single:12:top,12:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6,7,0,0,,,30,31
44,cut,low_clearance,20.0,7.0,19.0,7.0,1.0,single:17:bottom,17:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,7,0,1,,17,31,32
45,cut,low_clearance,19.0,7.0,19.0,14.0,7.0,single:17:left,17:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,7,1,1,17,17,32,33
46,cut,low_clearance,19.0,14.0,20.0,14.0,1.0,single:17:top,17:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,8,1,0,17,,33,34
47,cut,low_clearance,20.0,14.0,19.0,14.0,1.0,single:2:bottom,2:bottom,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8,8,0,1,,2,34,35
48,cut,low_clearance,19.0,14.0,19.0,19.0,5.0,single:2:left,2:left,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8,9,1,0,2,,35,36
