action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,5.0,625.0,620.0,collinear_edge:1450:left|1926:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,5.0,625.0,389.0,625.0,384.0,shared_edge:1002:bottom|1450:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,389.0,625.0,389.0,626.0,1.0,shared_edge:1002:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
3,cut,low_clearance,389.0,626.0,786.0,626.0,397.0,single:1957:top,1957:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,7
4,cut,low_clearance,786.0,626.0,786.0,315.0,311.0,shared_edge:1957:right|972:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,7,9
5,cut,low_clearance,786.0,315.0,773.0,315.0,13.0,shared_edge:1957:bottom|658:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,9,11
6,cut,low_clearance,773.0,315.0,389.0,315.0,384.0,shared_edge:1957:bottom|868:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,11,12
7,cut,low_clearance,389.0,315.0,5.0,315.0,384.0,shared_edge:1450:bottom|1926:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,12,14
8,travel,low_clearance,5.0,315.0,389.0,315.0,384.0,shared_edge:1450:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,384.0,0.0,1,1,0,0,,,14,14
9,cut,low_clearance,389.0,315.0,389.0,625.0,310.0,shared_edge:1450:right|1957:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,,,14,15
10,travel,low_clearance,389.0,625.0,389.0,685.3,60.299999999999955,collinear_edge:1229:bottom|1980:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,60.299999999999955,0.0,2,2,0,0,,,15,15
11,cut,low_clearance,389.0,685.3,1064.0,685.3,675.0,collinear_edge:1229:bottom|1980:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,15,17
12,cut,low_clearance,1064.0,685.3,1064.0,1051.3,366.0,single:1229:right,1229:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,17,18
13,travel,low_clearance,1064.0,1051.3,1094.0,1043.0,31.126997927843917,single:2201:top,,0.0,0.0,0.0,0,0.0,0,0.0,31.126997927843945,0.0,2,2,0,0,,,18,18
14,cut,low_clearance,1094.0,1043.0,1405.0,1043.0,311.0,single:2201:top,2201:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,18,19
15,travel,low_clearance,1405.0,1043.0,1405.0,1009.0,34.0,shared_edge:2201:right|785:left,,0.0,0.0,0.0,0,0.0,0,0.0,34.0,0.0,2,2,0,0,,,19,19
16,cut,low_clearance,1405.0,1009.0,1405.0,698.0,311.0,shared_edge:2201:right|785:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,19,21
17,cut,low_clearance,1405.0,698.0,1405.0,679.0,19.0,shared_edge:1289:left|2201:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,21,22
18,cut,low_clearance,1405.0,679.0,1405.0,387.0,292.0,shared_edge:1289:left|2202:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,22,23
19,travel,low_clearance,1405.0,387.0,1405.0,315.0,72.0,shared_edge:2202:bottom|419:top,,0.0,0.0,0.0,0,0.0,0,0.0,72.0,0.0,2,2,0,0,,,23,23
