action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
122,travel,low_clearance_detour,664.8,952.0,664.8,948.0,4.0,shared_edge:2433:bottom|2710:top,,0.0,0.0,0.0,0,0.0,1,4.0,4.0,0.0,19,19,0,0,,,100,100
123,cut,low_clearance,664.8,948.0,981.0,948.0,316.20000000000005,shared_edge:2433:bottom|2710:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,19,20,0,1,,2710,100,102
124,travel,low_clearance,981.0,948.0,1002.8,948.0,21.799999999999955,shared_edge:2710:right|498:left,,0.0,0.0,0.0,0,0.0,0,0.0,21.799999999999272,0.0,20,20,1,1,2710,2710,102,102
125,cut,low_clearance,1002.8,948.0,1002.8,655.0,293.0,shared_edge:2710:right|498:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,20,22,1,0,2710,,102,104
126,travel,low_clearance,1002.8,655.0,1305.8,628.0,304.20059171540083,shared_edge:1384:left|2808:right,,0.0,0.0,0.0,0,0.0,0,0.0,304.20059171540015,0.0,22,22,0,0,,,104,104
127,cut,low_clearance,1305.8,628.0,1305.8,317.0,311.0,shared_edge:1384:left|2808:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,22,22,0,1,,1384,104,106
128,travel,low_clearance,1305.8,317.0,1598.8,317.0,293.0,shared_edge:1384:bottom|2459:top,,0.0,0.0,0.0,0,0.0,0,0.0,293.0,0.0,22,22,1,1,1384,1384,106,106
129,cut,low_clearance,1598.8,317.0,1305.8,317.0,293.0,shared_edge:1384:bottom|2459:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,22,23,1,1,1384,2459,106,108
130,cut,low_clearance,1305.8,317.0,1297.0,317.0,8.799999999999955,shared_edge:2459:top|2808:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,23,24,1,1,2459,2459,108,109
131,cut,low_clearance,1297.0,317.0,1297.0,5.0,312.0,shared_edge:1403:right|2459:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,24,25,1,1,2459,1403,109,111
132,travel,low_clearance,1297.0,5.0,977.0,317.0,446.9272871508295,shared_edge:1048:right|1403:left,,0.0,0.0,0.0,0,0.0,0,0.0,446.9272871508292,0.0,25,25,1,1,1403,1403,111,111
133,cut,low_clearance,977.0,317.0,977.0,5.0,312.0,shared_edge:1048:right|1403:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,25,26,1,1,1403,1048,111,113
134,travel,low_clearance,977.0,5.0,657.0,5.0,320.0,shared_edge:1048:left|2184:right,,0.0,0.0,0.0,0,0.0,0,0.0,320.0,0.0,26,26,1,1,1048,1048,113,113
135,cut,low_clearance,657.0,5.0,657.0,317.0,312.0,shared_edge:1048:left|2184:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,26,27,1,1,1048,2184,113,115
136,travel,low_clearance,657.0,317.0,657.0,326.0,9.0,shared_edge:2184:top|569:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,9.0,0.0,27,27,1,1,2184,2184,115,115
137,cut,low_clearance,657.0,326.0,331.0,326.0,326.0,shared_edge:2184:top|569:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,27,29,1,0,2184,,115,117
138,travel,safe_lift,331.0,326.0,1617.0,5.0,1325.4572795831634,collinear_edge:1565:bottom|180:bottom,,1.0,0.0,0.0,1,1325.4572795831634,0,0.0,1575.4572795831627,0.0,29,29,0,0,,,117,117
139,cut,low_clearance,1617.0,5.0,2258.0,5.0,641.0,collinear_edge:1565:bottom|180:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,29,29,0,1,,1565,117,118
140,cut,low_clearance,2258.0,5.0,2258.0,316.0,311.0,single:1565:right,1565:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,29,29,1,1,1565,1565,118,119
141,travel,low_clearance,2258.0,316.0,2239.0,316.0,19.0,shared_edge:1565:top|1914:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,19.0,0.0,29,29,1,1,1565,1565,119,119
142,cut,low_clearance,2239.0,316.0,1937.5,316.0,301.5,shared_edge:1565:top|1914:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,29,30,1,0,1565,,119,120
