baseline_method,paired_cases,travel_mode_cost_reduction_pct_mean,travel_mode_cost_reduction_pct_median,air_move_distance_reduction_pct_mean,stability_penalty_reduction_mean,hard_penalty_delta_mean,runtime_ratio_mean,process_key_win_rate,process_key_tie_rate,process_key_sign_test_p,travel_cost_win_rate,travel_cost_sign_test_p,stability_win_rate,stability_sign_test_p
greedy,3,-69.357048,-70.500719,-101.600548,108.333333,0.000000,35.209021,1.000000,0.000000,0.250000,0.000000,0.250000,1.000000,0.250000
topology_process_aware,3,27.478617,31.742624,24.051349,0.000000,0.000000,1.092874,1.000000,0.000000,0.250000,1.000000,0.250000,0.000000,
