case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
clustered|100|0,greedy,process_aware_beam,100,6738.092699,11654.835890,4916.743191,-72.969361,5488.092699,11154.835890,-103.255238,0.000000,0.000000,0.000000,91.000000,0.000000,-91.000000,91.000000,44.455709,1499.888833,33.738948,target
clustered|100|0,topology_process_aware,process_aware_beam,100,17074.837371,11654.835890,-5420.001481,31.742624,15324.837371,11154.835890,27.210739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1299.325167,1499.888833,1.154360,target
clustered|200|0,greedy,process_aware_beam,200,16644.061355,28378.244347,11734.182992,-70.500719,10394.061355,24628.244347,-136.945343,0.000000,0.000000,0.000000,186.000000,0.000000,-186.000000,186.000000,123.286250,3711.544625,30.105098,target
clustered|200|0,topology_process_aware,process_aware_beam,200,33396.291311,28378.244347,-5018.046964,15.025761,27146.291311,24628.244347,9.275842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5336.330042,3711.544625,0.695524,target
clustered|50|0,greedy,process_aware_beam,50,3561.674927,5862.554824,2300.879897,-64.601064,3561.674927,5862.554824,-64.601064,0.000000,0.000000,0.000000,48.000000,0.000000,-48.000000,48.000000,19.270292,805.170917,41.783016,target
clustered|50|0,topology_process_aware,process_aware_beam,50,9112.892705,5862.554824,-3250.337881,35.667466,9112.892705,5862.554824,35.667466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,563.554375,805.170917,1.428737,target
