case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_cutting_length,target_cutting_length,baseline_machining_cost,target_machining_cost,machining_cost_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_tool_event_count,target_tool_event_count,tool_event_count_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|1,path_distance_local_search,process_aware_beam,4,31.000000,24.950845,-6.049155,19.513404,31.000000,24.950845,19.513404,117.000000,117.000000,148.000000,141.950845,4.087267,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,8.000000,10.000000,-2.000000,36.573625,26.222250,0.716972,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|1,topology_process_aware,process_aware_beam,4,50.935417,24.950845,-25.984573,51.014744,50.935417,24.950845,51.014744,117.000000,117.000000,167.935417,141.950845,15.472956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,10.000000,4.000000,4.470167,26.222250,5.866056,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|2,greedy,process_aware_beam,9,30.236068,52.556349,22.320281,-73.820052,30.236068,52.556349,-73.820052,159.000000,159.000000,189.236068,211.556349,-11.794940,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,20.000000,22.000000,-2.000000,1.126333,125.666292,111.571171,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|2,path_distance_local_search,process_aware_beam,9,30.236068,52.556349,22.320281,-73.820052,30.236068,52.556349,-73.820052,159.000000,159.000000,189.236068,211.556349,-11.794940,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,20.000000,22.000000,-2.000000,94.243000,125.666292,1.333428,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|2,topology_process_aware,process_aware_beam,9,66.236068,52.556349,-13.679719,20.652975,66.236068,52.556349,20.652975,159.000000,159.000000,225.236068,211.556349,6.073503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,22.000000,6.000000,39.442375,125.666292,3.186073,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|3,greedy,process_aware_beam,5,29.000000,24.000000,-5.000000,17.241379,29.000000,24.000000,17.241379,113.000000,113.000000,142.000000,137.000000,3.521127,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,12.000000,12.000000,0.000000,0.831916,33.427250,40.181040,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|3,path_distance_local_search,process_aware_beam,5,29.000000,24.000000,-5.000000,17.241379,29.000000,24.000000,17.241379,113.000000,113.000000,142.000000,137.000000,3.521127,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,12.000000,12.000000,0.000000,60.798541,33.427250,0.549803,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv|3,topology_process_aware,process_aware_beam,5,57.698449,24.000000,-33.698449,58.404428,57.698449,24.000000,58.404428,113.000000,113.000000,170.698449,137.000000,19.741509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,12.000000,10.000000,7.046750,33.427250,4.743641,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|1,greedy,process_aware_beam,17,4268.710143,9495.048168,5226.338024,-122.433659,4018.710143,9245.048168,-130.050136,15766.000000,15766.000000,20034.710143,25261.048168,-26.086417,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,42.000000,50.000000,-8.000000,3.086292,349.868417,113.362059,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|1,path_distance_local_search,process_aware_beam,17,4268.710143,9495.048168,5226.338024,-122.433659,4018.710143,9245.048168,-130.050136,15766.000000,15766.000000,20034.710143,25261.048168,-26.086417,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,42.000000,50.000000,-8.000000,165.830125,349.868417,2.109800,target
