baseline_method,paired_cases,travel_mode_cost_reduction_pct_mean,travel_mode_cost_reduction_pct_median,machining_cost_reduction_pct_mean,machining_cost_reduction_pct_median,air_move_distance_reduction_pct_mean,stability_penalty_reduction_mean,tool_event_count_reduction_mean,hard_penalty_delta_mean,runtime_ratio_mean,process_key_win_rate,process_key_tie_rate,process_key_sign_test_p,travel_cost_win_rate,travel_cost_sign_test_p,machining_cost_win_rate,machining_cost_sign_test_p,tool_event_win_rate,tool_event_sign_test_p,stability_win_rate,stability_sign_test_p
greedy,27,-54.457811,-50.881226,-9.775628,-10.889450,-57.550684,2.925926,-4.333333,0.000000,75.515851,0.925926,0.000000,0.000006,0.222222,0.005925,0.222222,0.005925,0.185185,0.004077,0.925926,0.000000
path_distance_local_search,27,-54.659698,-50.881226,-9.810728,-10.889450,-57.773808,2.925926,-4.629630,0.000000,1.868649,0.925926,0.000000,0.000006,0.222222,0.005925,0.222222,0.005925,0.148148,0.001544,0.925926,0.000000
topology_process_aware,27,18.080809,16.661728,6.289373,5.757420,18.050518,0.000000,6.629630,0.000000,3.471340,0.814815,0.000000,0.001514,0.814815,0.000534,0.814815,0.000534,0.740741,0.001544,0.000000,
