baseline_method,paired_cases,travel_mode_cost_reduction_pct_mean,travel_mode_cost_reduction_pct_median,machining_cost_reduction_pct_mean,machining_cost_reduction_pct_median,air_move_distance_reduction_pct_mean,stability_penalty_reduction_mean,tool_event_count_reduction_mean,hard_penalty_delta_mean,runtime_ratio_mean,process_key_win_rate,process_key_tie_rate,process_key_sign_test_p,travel_cost_win_rate,travel_cost_sign_test_p,machining_cost_win_rate,machining_cost_sign_test_p,tool_event_win_rate,tool_event_sign_test_p,stability_win_rate,stability_sign_test_p
greedy,27,-58.832375,-50.881226,-10.273461,-10.889450,-61.940171,2.925926,-4.111111,0.000000,75.281510,0.925926,0.000000,0.000006,0.222222,0.005925,0.222222,0.005925,0.185185,0.004077,0.925926,0.000000
path_distance_local_search,27,-59.034262,-50.881226,-10.308561,-10.889450,-62.163295,2.925926,-4.407407,0.000000,1.886655,0.925926,0.000000,0.000006,0.222222,0.005925,0.222222,0.005925,0.148148,0.001544,0.925926,0.000000
topology_process_aware,27,15.563374,16.661728,5.829955,5.757420,15.533083,0.000000,6.851852,0.000000,3.478585,0.814815,0.000000,0.001514,0.814815,0.000534,0.814815,0.000534,0.740741,0.000121,0.000000,
