method,n,runtime_ms_mean,runtime_ms_median,runtime_ms_std,air_move_distance_mean,air_move_distance_median,air_move_distance_std,cutting_length_mean,cutting_length_median,cutting_length_std,machining_cost_mean,machining_cost_median,machining_cost_std,travel_mode_cost_mean,travel_mode_cost_median,travel_mode_cost_std,hard_penalty_mean,hard_penalty_median,hard_penalty_std,stability_penalty_mean,stability_penalty_median,stability_penalty_std,pierce_count_mean,pierce_count_median,pierce_count_std,lift_count_mean,lift_count_median,lift_count_std,safe_lift_count_mean,safe_lift_count_median,safe_lift_count_std,detour_count_mean,detour_count_median,detour_count_std,rectangle_count_mean,rectangle_count_median,rectangle_count_std
greedy,27,5.262955,3.618666,5.219474,3065.179147,3973.227130,2861.025776,10529.277778,16737.000000,9417.524264,13751.864332,21528.936108,12351.097640,3222.586554,4062.436108,2994.790224,0.000000,0.000000,0.000000,2.925926,3.000000,2.106883,15.888889,18.000000,9.844470,15.962963,18.000000,9.905036,0.629630,0.000000,0.776895,12.962963,8.000000,15.917569,15.259259,16.000000,9.339651
path_distance_local_search,27,171.721802,163.044083,118.927047,3057.753737,3973.227130,2856.309955,10529.277778,16737.000000,9417.524264,13744.438922,21528.936108,12345.528222,3215.161144,4062.436108,2990.055430,0.000000,0.000000,0.000000,2.925926,3.000000,2.106883,15.740741,18.000000,9.965097,15.814815,18.000000,10.026029,0.629630,0.000000,0.776895,12.962963,8.000000,15.917569,15.259259,16.000000,9.339651
topology_process_aware,27,208.912681,119.999250,296.932019,5842.066132,6837.295104,5438.214117,10529.277778,16737.000000,9417.524264,16500.973540,23748.468638,14863.699004,5971.695762,6837.295104,5569.868793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.222222,21.000000,12.685172,21.703704,22.000000,13.046398,0.518519,0.000000,0.738887,17.814815,15.000000,19.394610,15.259259,16.000000,9.339651
process_aware_beam,27,434.330261,359.978167,447.611065,4985.877696,6156.818910,4690.150997,10529.277778,16737.000000,9417.524264,15607.748067,23873.318910,14043.983239,5078.470289,6406.818910,4777.288423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.888889,18.000000,11.337690,18.333333,19.000000,11.550212,0.370370,0.000000,0.617531,15.370370,10.000000,17.749592,15.259259,16.000000,9.339651
