action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
52,travel,low_clearance,620.5,1159.0,943.5,1198.0,325.3459696999488,single:252:top,,0.0,0.0,0.0,0,0.0,0,0.0,325.3459696999489,0.0,10,10,0,0,,,47,47
53,cut,low_clearance,943.5,1198.0,1254.2,1198.0,310.70000000000005,single:252:top,252:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,10,10,0,0,,,47,48
54,travel,low_clearance,1254.2,1198.0,1254.2,1168.0,30.0,shared_edge:2259:left|252:right,,0.0,0.0,0.0,0,0.0,0,0.0,30.0,0.0,10,10,0,0,,,48,48
55,cut,low_clearance,1254.2,1168.0,1254.2,905.0,263.0,shared_edge:2259:left|252:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,10,10,0,1,,252,48,50
56,cut,low_clearance,1254.2,905.0,1254.2,875.0,30.0,shared_edge:2259:left|45:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,10,10,1,0,252,,50,51
57,cut,low_clearance,1254.2,875.0,1254.2,612.0,263.0,shared_edge:1056:left|45:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,10,10,0,0,,,51,52
58,travel,low_clearance,1254.2,612.0,1227.5,612.0,26.700000000000045,shared_edge:2737:top|45:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,26.700000000000273,0.0,10,10,0,0,,,52,52
59,cut,low_clearance,1227.5,612.0,943.5,612.0,284.0,shared_edge:2737:top|45:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,10,10,0,0,,,52,54
60,cut,low_clearance,943.5,612.0,943.5,591.0,21.0,shared_edge:2737:left|347:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,10,11,0,0,,,54,56
61,travel,low_clearance,943.5,591.0,1227.5,582.0,284.14256984830695,shared_edge:2737:right|321:left,,0.0,0.0,0.0,0,0.0,0,0.0,284.1425698483072,0.0,11,11,0,0,,,56,56
62,cut,low_clearance,1227.5,582.0,1227.5,289.0,293.0,shared_edge:2737:right|321:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,11,12,0,0,,,56,58
63,cut,low_clearance,1227.5,289.0,1294.5,289.0,67.0,shared_edge:321:bottom|694:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,12,12,0,0,,,58,60
