action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
138,travel,low_clearance,1617.5,286.0,1617.5,289.0,3.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,3.0,0.0,28,28,0,0,,,115,115
139,travel,low_clearance,1617.5,289.0,1620.5,289.0,3.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,3.0,0.0,28,28,0,0,,,115,115
140,travel,low_clearance,1620.5,289.0,1845.9,289.0,225.4000000000001,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,225.39999999999964,0.0,28,28,0,0,,,115,115
141,travel,low_clearance,1845.9,289.0,1851.9,289.0,6.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,6.0,0.0,28,28,0,0,,,115,115
142,travel,low_clearance,1851.9,289.0,1872.6000000000001,289.0,20.700000000000045,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,20.700000000000728,0.0,28,28,0,0,,,115,115
143,travel,low_clearance,1872.6000000000001,289.0,1878.6000000000001,289.0,6.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,6.0,0.0,28,28,0,0,,,115,115
144,travel,low_clearance,1878.6000000000001,289.0,1937.5,289.0,58.899999999999864,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,58.899999999999636,0.0,28,28,0,0,,,115,115
145,travel,low_clearance,1937.5,289.0,1943.5,289.0,6.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,6.0,0.0,28,28,0,0,,,115,115
146,travel,low_clearance,1943.5,289.0,2162.6,289.0,219.0999999999999,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,219.10000000000036,0.0,28,28,0,0,,,115,115
147,travel,low_clearance,2162.6,289.0,2182.6000000000004,289.0,20.000000000000455,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,20.0,0.0,28,28,0,0,,,115,115
148,travel,low_clearance,2182.6000000000004,289.0,2188.6000000000004,289.0,6.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,6.0,0.0,28,28,0,0,,,115,115
149,travel,low_clearance,2188.6000000000004,289.0,2189.3,289.0,0.6999999999998181,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.7000000000007276,0.0,28,28,0,0,,,115,115
150,travel,low_clearance,2189.3,289.0,2266.5,289.0,77.19999999999982,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,77.20000000000073,0.0,28,28,0,0,,,115,115
151,travel,low_clearance,2266.5,289.0,2418.3,289.0,151.80000000000018,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,151.79999999999927,0.0,28,28,0,0,,,115,115
152,cut,low_clearance,2418.3,289.0,2418.3,867.0,578.0,collinear_edge:1204:right|2595:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,28,28,0,2,,1204;2595,115,117
153,cut,low_clearance,2418.3,867.0,2186.3,867.0,232.0,single:1204:top,1204:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,28,28,2,2,1204;2595,1204;2595,117,118
154,travel,low_clearance,2186.3,867.0,2186.3,617.0,250.0,shared_edge:1204:bottom|2595:top,,0.0,0.0,0.0,0,0.0,0,0.0,250.0,0.0,28,28,2,2,1204;2595,1204;2595,118,118
155,cut,low_clearance,2186.3,617.0,2418.3,617.0,232.0,shared_edge:1204:bottom|2595:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,28,30,2,0,1204;2595,,118,120
