archive,placements_member,board_id,method,runtime_ms,rectangle_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,machining_cost
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,topology_process_aware,212.518208,30,76,176,13233.896292762567,24611.5,45,46,0.0,0.0,0.0,0.0,1,894.2827517066399,61,3738.8999999999996,13483.896292762567,38095.39629276257
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,process_aware_beam,507.35245799999996,30,76,143,12313.1489915884,24611.5,33,35,0.0,0.0,0.0,0.0,1,1325.4572795831634,37,3476.3,12563.1489915884,37174.6489915884
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,340,process_aware_beam_adaptive_polished,995.0952080000001,30,76,119,10074.28367803585,24611.5,35,36,0.0,0.0,0.0,0.0,1,1647.9038473163419,10,725.0,10324.28367803585,34935.78367803585
